sample_index,split,true_label_id,true_label_name,predicted_label_id,predicted_label_name,confidence_of_predicted_class,confidence_of_true_class,top2_predicted_label_name,top2_predicted_confidence,gesture,person,session,take,sample_path,original_sample_path,is_correct
110,test,2,attack_fire,2,attack_fire,0.95737076,0.95737076,defense_fire,0.04032446,attack_fire,luis,s17,take_001,data\raw\openpose_json\attack_fire\luis\s17\take_001,data\raw\openpose_json\attack_fire\luis\s17\take_001,True
311,test,3,defense_fire,3,defense_fire,0.9612583,0.9612583,attack_fire,0.037352625,defense_fire,luis,s14,take_001,data\raw\openpose_json\defense_fire\luis\s14\take_001,data\raw\openpose_json\defense_fire\luis\s14\take_001,True
83,test,6,attack_earth,6,attack_earth,0.96266675,0.96266675,defense_air,0.015693946,attack_earth,rin,s15,take_001,data\raw\openpose_json\attack_earth\rin\s15\take_001,data\raw\openpose_json\attack_earth\rin\s15\take_001,True
106,test,2,attack_fire,2,attack_fire,0.9697964,0.9697964,defense_air,0.008550761,attack_fire,luis,s13,take_001,data\raw\openpose_json\attack_fire\luis\s13\take_001,data\raw\openpose_json\attack_fire\luis\s13\take_001,True
437,test,8,idle,8,idle,0.96990573,0.96990573,defense_earth,0.029842436,idle,rin,s1,take_004,data\raw\openpose_json\idle\rin\s1\take_004,data\raw\openpose_json\idle\rin\s1\take_004,True
352,test,3,defense_fire,3,defense_fire,0.97115797,0.97115797,attack_fire,0.028729161,defense_fire,rin,s5,take_001,data\raw\openpose_json\defense_fire\rin\s5\take_001,data\raw\openpose_json\defense_fire\rin\s5\take_001,True
71,test,6,attack_earth,6,attack_earth,0.9716589,0.9716589,defense_earth,0.01551836,attack_earth,luis,s7,take_001,data\raw\openpose_json\attack_earth\luis\s7\take_001,data\raw\openpose_json\attack_earth\luis\s7\take_001,True
185,test,4,attack_water,4,attack_water,0.97222173,0.97222173,defense_earth,0.027387189,attack_water,rin,s15,take_001,data\raw\openpose_json\attack_water\rin\s15\take_001,data\raw\openpose_json\attack_water\rin\s15\take_001,True
397,test,5,defense_water,5,defense_water,0.97338754,0.97338754,defense_fire,0.022601042,defense_water,rin,s22,take_001,data\raw\openpose_json\defense_water\rin\s22\take_001,data\raw\openpose_json\defense_water\rin\s22\take_001,True
368,test,5,defense_water,5,defense_water,0.9764049,0.9764049,defense_fire,0.020055356,defense_water,luis,s2,take_001,data\raw\openpose_json\defense_water\luis\s2\take_001,data\raw\openpose_json\defense_water\luis\s2\take_001,True
18,test,0,attack_air,0,attack_air,0.9794561,0.9794561,attack_water,0.020151198,attack_air,luis,s5,take_001,data\raw\openpose_json\attack_air\luis\s5\take_001,data\raw\openpose_json\attack_air\luis\s5\take_001,True
283,test,7,defense_earth,7,defense_earth,0.98013604,0.98013604,attack_earth,0.008780863,defense_earth,rin,s11,take_001,data\raw\openpose_json\defense_earth\rin\s11\take_001,data\raw\openpose_json\defense_earth\rin\s11\take_001,True
124,test,2,attack_fire,2,attack_fire,0.9807792,0.9807792,defense_fire,0.019137474,attack_fire,luis,s9,take_001,data\raw\openpose_json\attack_fire\luis\s9\take_001,data\raw\openpose_json\attack_fire\luis\s9\take_001,True
256,test,7,defense_earth,7,defense_earth,0.9823366,0.9823366,idle,0.013404814,defense_earth,luis,s10,take_001,data\raw\openpose_json\defense_earth\luis\s10\take_001,data\raw\openpose_json\defense_earth\luis\s10\take_001,True
202,test,4,attack_water,4,attack_water,0.98267144,0.98267144,attack_fire,0.01698312,attack_water,rin,s8,take_001,data\raw\openpose_json\attack_water\rin\s8\take_001,data\raw\openpose_json\attack_water\rin\s8\take_001,True
335,test,3,defense_fire,3,defense_fire,0.9835849,0.9835849,attack_fire,0.016364798,defense_fire,rin,s12,take_001,data\raw\openpose_json\defense_fire\rin\s12\take_001,data\raw\openpose_json\defense_fire\rin\s12\take_001,True
43,test,0,attack_air,0,attack_air,0.98802257,0.98802257,defense_air,0.004777391,attack_air,rin,s25,take_001,data\raw\openpose_json\attack_air\rin\s25\take_001,data\raw\openpose_json\attack_air\rin\s25\take_001,True
210,test,1,defense_air,1,defense_air,0.98832524,0.98832524,attack_earth,0.009587378,defense_air,luis,s15,take_001,data\raw\openpose_json\defense_air\luis\s15\take_001,data\raw\openpose_json\defense_air\luis\s15\take_001,True
169,test,4,attack_water,4,attack_water,0.98869544,0.98869544,defense_earth,0.011276503,attack_water,luis,s3,take_001,data\raw\openpose_json\attack_water\luis\s3\take_001,data\raw\openpose_json\attack_water\luis\s3\take_001,True
205,test,1,defense_air,1,defense_air,0.99030054,0.99030054,attack_air,0.009516391,defense_air,luis,s10,take_001,data\raw\openpose_json\defense_air\luis\s10\take_001,data\raw\openpose_json\defense_air\luis\s10\take_001,True
247,test,1,defense_air,1,defense_air,0.99210584,0.99210584,defense_fire,0.0031262145,defense_air,rin,s25,take_001,data\raw\openpose_json\defense_air\rin\s25\take_001,data\raw\openpose_json\defense_air\rin\s25\take_001,True
271,test,7,defense_earth,7,defense_earth,0.99338853,0.99338853,idle,0.006439235,defense_earth,luis,s3,take_001,data\raw\openpose_json\defense_earth\luis\s3\take_001,data\raw\openpose_json\defense_earth\luis\s3\take_001,True
372,test,5,defense_water,5,defense_water,0.9943135,0.9943135,attack_earth,0.0039966963,defense_water,luis,s23,take_001,data\raw\openpose_json\defense_water\luis\s23\take_001,data\raw\openpose_json\defense_water\luis\s23\take_001,True
263,test,7,defense_earth,7,defense_earth,0.9945504,0.9945504,attack_earth,0.0021403974,defense_earth,luis,s17,take_001,data\raw\openpose_json\defense_earth\luis\s17\take_001,data\raw\openpose_json\defense_earth\luis\s17\take_001,True
382,test,5,defense_water,5,defense_water,0.9959746,0.9959746,defense_fire,0.0036336249,defense_water,rin,s1,take_002,data\raw\openpose_json\defense_water\rin\s1\take_002,data\raw\openpose_json\defense_water\rin\s1\take_002,True
365,test,5,defense_water,5,defense_water,0.99731195,0.99731195,defense_fire,0.0018691254,defense_water,luis,s17,take_001,data\raw\openpose_json\defense_water\luis\s17\take_001,data\raw\openpose_json\defense_water\luis\s17\take_001,True
375,test,5,defense_water,5,defense_water,0.9985216,0.9985216,defense_fire,0.00067175966,defense_water,luis,s5,take_001,data\raw\openpose_json\defense_water\luis\s5\take_001,data\raw\openpose_json\defense_water\luis\s5\take_001,True
158,test,4,attack_water,4,attack_water,0.99882704,0.99882704,defense_earth,0.0011356022,attack_water,luis,s14,take_001,data\raw\openpose_json\attack_water\luis\s14\take_001,data\raw\openpose_json\attack_water\luis\s14\take_001,True
